alias;count;time
C2;1;3.0216588973999023
C1;1;10.014835119247437
A2;1;10.018652200698853
A1;1;11.017171144485474
B1;1;12.01880407333374
B2;1;12.018516778945923
C2;2;10.015403985977173
A1;2;5.012314081192017
B2;2;5.015440940856934
B1;2;5.01626992225647
C2;3;5.012535095214844
C1;2;10.013988971710205
A2;2;11.009955167770386
B2;3;4.017698049545288
A1;3;7.013304948806763
C2;4;9.019101858139038
B1;3;11.019553899765015
A2;3;9.012694120407104
A1;4;7.009765863418579
B2;4;10.012104988098145
C1;3;12.021164894104004
A2;4;3.0136680603027344
B1;4;7.0141990184783936
A2;5;3.015930652618408
C2;5;10.09285593032837
A2;6;3.017192840576172
B1;5;4.018815040588379
A1;5;10.022701740264893
B2;5;9.014365196228027
C1;4;10.02525281906128
A1;6;4.01906418800354
C2;6;8.017745971679688
B2;6;7.023268938064575
A1;7;5.015260934829712
B1;6;10.021183013916016
A2;7;11.025660276412964
C1;5;9.027719020843506
C2;7;7.024624824523926
B2;7;6.020186901092529
A2;8;3.0164999961853027
A1;8;9.012612104415894
B1;7;10.017291069030762
C2;8;7.027395248413086
A1;9;3.013740062713623
C1;6;12.0171959400177
B2;8;10.012449026107788
C2;9;4.012601852416992
A2;9;12.012250185012817
A1;10;5.012289047241211
C2;10;4.017796039581299
C1;7;5.017725944519043
B1;8;10.014349937438965
A1;11;5.021991968154907
B1;9;4.013674020767212
B2;9;11.023346185684204
A2;10;11.01543402671814
A1;12;6.018868923187256
C2;11;11.091506242752075
C1;8;12.019132137298584
B1;10;9.020624160766602
A2;11;6.017905950546265
B2;10;10.027734994888306
B1;11;4.018411159515381
A1;13;9.16797685623169
C1;9;7.0284717082977295
C2;12;10.01140308380127
A1;14;4.013674974441528
B2;11;8.01843810081482
A2;12;12.015081882476807
B1;12;9.018360137939453
A1;15;5.012486934661865
B2;12;6.01629900932312
C2;13;10.014219045639038
C1;10;12.01669979095459
A1;16;6.012450695037842
B2;13;4.018020153045654
A2;13;12.012154817581177
C1;11;7.014885902404785
B1;13;12.010033130645752
C2;14;10.01267409324646
A2;14;4.0149900913238525
B1;14;4.01092004776001
A1;17;11.014299154281616
C1;12;7.01189398765564
C2;15;5.010477066040039
A2;15;4.014172792434692
B2;14;12.014834880828857
A2;16;4.0134971141815186
B2;15;4.011244058609009
A1;18;9.01279902458191
B1;15;11.015225172042847
C2;16;9.014988660812378
B2;16;5.010144948959351
C1;13;12.013699769973755
A2;17;9.013500928878784
A1;19;7.016941070556641
B1;16;11.109694957733154
A2;18;7.020429849624634
B2;17;11.012945890426636
C2;17;12.014514923095703
C1;14;10.01351284980774
A1;20;9.014375925064087
A2;19;4.019550800323486
B2;18;9.012011766433716
B1;17;10.023234128952026
C1;15;9.01769495010376
A1;21;7.01992392539978
C2;18;11.012734174728394
B1;18;4.023986101150513
A2;20;11.024548053741455
C2;19;7.018137216567993
B1;19;6.0164408683776855
A1;22;9.015774011611938
B2;19;11.02498197555542
C1;16;11.015240907669067
A1;23;4.013016939163208
B2;20;4.015944957733154
A2;21;11.01960301399231
A1;24;4.023415803909302
B1;20;9.01142406463623
C1;17;9.00957202911377
C2;20;12.0117928981781
B1;21;4.01154088973999
A1;25;7.014689922332764
A2;22;10.013782024383545
B2;21;12.017462015151978
B1;22;5.013106107711792
C1;18;9.010599851608276
B2;22;4.016211032867432
C2;21;12.014240026473999
A1;26;8.00902509689331
B1;23;8.011328935623169
A1;27;3.0104851722717285
A2;23;10.021229028701782
B2;23;9.017632961273193
C1;19;11.014309883117676
A2;24;4.021266222000122
C2;22;8.016815900802612
A1;28;10.026725053787231
B1;24;11.012475967407227
C2;23;6.012806177139282
A2;25;7.02113676071167
B2;24;12.020310878753662
C1;20;12.015911102294922
B1;25;8.01119613647461
B2;25;6.023729085922241
A1;29;12.061037063598633
C2;24;12.020289659500122
A2;26;12.0344078540802
A1;30;4.028108835220337
A2;27;3.021228075027466
C1;21;12.018950939178467
B2;26;7.0167810916900635
B1;26;12.010976076126099
A2;28;5.0170979499816895
C2;25;9.016701936721802
B2;27;6.011730909347534
